Firefox Country,Firefox Continent,Firefox DAU,Firefox DAU %,Firefox stream Country Code,Firefox country lang,"firefox vpn availability in stream geo-location by 10th JUNE roll-out plan (1=YES, 0=NO)",stream supplier name (use correct brand letter casing),stream product name (use correct brand letter casing),"stream supplier all game availability 1=TRUE, 0=FALSE","stream offer entitlement
FREE, FREE TRIAL, FREE AND PAID, PAID","stream offer entitlement sort order
1=FIFA, 2=FREE, 3=FREE AND PAID, 4=FREE TRIAL,5=PAID",stream platform home page URL,stream URL,"show in other regions list (1=on, 0=off switch)","show in production (1=on, 0=off switch)","Mozilla VPN
tested set to local country? (1=TESTED, OR 0=NOT-TESTED)","Mozilla VPN
test results (2=tested and NOT working, 1=tested and working, 0=NOT-TESTED)","PLAYBACK
of stream tested? (2=tested and NOT working, 1=tested and working, 0=NOT-TESTED)","PIP
of stream playback tested? (2=tested and NOT working, 1=tested and working, 0=NOT-TESTED)",Editorial team Notes,Curator,stream availability source URL
Ecuador,Americas,"343,907",0.71%,EC,"es-MX, Spanish (Mexico)",0,Paramount+,Paramount+,1,PAID,5,https://www.paramountplus.com/ec/,https://www.paramountplus.com/ec/,1,1,1,2,0,0,Got a 406 error code when trying to access via VPN. ,Kimi (added as found for Chile),https://cveintiuno.com/paramount-adquiere-los-derechos-completos-del-mundial-2026-para-argentina-chile-colombia-ecuador-peru-y-uruguay/
Finland,Europe,"331,156",0.69%,FI,"fi, Finnish",1,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,2,1,1,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Britt,
Finland,Europe,"331,156",0.69%,FI,"fi, Finnish",1,Yle,Yle Areena,0,FREE & PAID,3,https://areena.yle.fi/tv,https://areena.yle.fi/1-72511886,1,1,1,2,0,0,"When I was on VPN for Helksinki the page came up as a 403 error. Off VPN it worked. However, this meant I couldn't test PIP and playback. ",Britt,https://www.livesoccertv.com/competitions/international/world-cup/watch/finland/
Finland,Europe,"331,156",0.69%,FI,"fi, Finnish",1,MTV,MTV Katsomo,0,FREE & PAID,3,https://www.mtv.fi/,https://www.mtv.fi/ohjelmat/fifa-2026 ,1,1,1,2,0,0,Sounds like these two networks are splitting games. Also: VPN allowed me to see the page but when it came to watching a video it said I couldn't because my location was hidden. That meant I couldn't actually watch or test videos. ,Britt,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_broadcasting_rights
Colombia,Americas,"329,562",0.68%,CO,"es-MX, Spanish (Mexico)",1,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,2,1,1,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Britt,
Colombia,Americas,"329,562",0.68%,CO,"es-MX, Spanish (Mexico)",1,Canal RCN,Canal RCN,0,FREE,2,https://www.canalrcn.com/co,https://www.canalrcn.com/co/deportes,1,1,1,1,1,1,"Tested a stream and it played back, PIP worked too. Check back later for a dedicated stream URL. Right now it's just the sports page. ",Britt,
Colombia,Americas,"329,562",0.68%,CO,"es-MX, Spanish (Mexico)",1,Caracol TV,Ditu,0,FREE & PAID,3,https://ditu.caracoltv.com/,https://ditu.caracoltv.com/category/copa-mundial-de-futbol-2026,1,1,1,1,1,1,"Tested a stream and it played back, PIP worked too. Double check landing page before WC. ",Britt,https://www.livesoccertv.com/competitions/international/world-cup/watch/colombia/
Colombia,Americas,"329,562",0.68%,CO,"es-MX, Spanish (Mexico)",1,Win Sports,Win Play,0,PAID,5,https://winplay.co/co,https://winplay.co/co/futbol-internacional  ,1,1,1,1,0,0,Must subscribe to test anything. Check back for more specific link (right now they just have a general football page).,Britt,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_broadcasting_rights
Colombia,Americas,"329,562",0.68%,CO,"es-MX, Spanish (Mexico)",1,DIRECTV,DIRECTV,1,PAID,5,https://www.directvsports.com/programacion/,https://www.directvla.com/co/mundial,1,1,1,1,0,0,Couldn't figure out how to test anything and landing page is sketchy (no proper streaming link yet). I see DirecTV is included in a lot of countries -- we might want to align for consistency on links. ,Britt,
Sweden,Europe,"288,922",0.60%,SE,"sv-SE, Swedish",1,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,2,1,1,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Britt,
Sweden,Europe,"288,922",0.60%,SE,"sv-SE, Swedish",1,TV4,TV4 Play,0,FREE & PAID,3,https://www.tv4play.se/,https://www.tv4play.se/kategorier/fifa-fotbolls-vm-2026,1,1,1,2,0,0,"Seems like they'll split the matches, though TV4 will hold a larger share. Also: With VPN I could go to the page but when it came to watching a livestream it said: ""Your region is hidden"" and wouldn't allow it. ",Britt,https://digitalhub.fifa.com/m/af2cdbbd380d70c/original/FWC26-Media-Rights-Licensees-Overview.pdf
Sweden,Europe,"288,922",0.60%,SE,"sv-SE, Swedish",1,SVT,SVT Play,0,FREE & PAID,3,https://www.svt.se/,https://www.svtplay.se/fifa-fotbolls-vm-2026,1,1,1,1,1,1,,Britt,https://www.livesoccertv.com/competitions/international/world-cup/watch/sweden/
Romania,Europe,"240,836",0.50%,RO,"ro, Romanian",0,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,2,1,1,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Britt,
Romania,Europe,"240,836",0.50%,RO,"ro, Romanian",0,Antena,AntenaPLAY,1,PAID,5,https://antenaplay.ro/,https://antenaplay.ro/fifa-world-cup,1,1,1,1,0,0,VPN seemed to be working but I couldn't test PIP or playback because you need a membership. ,Britt,https://digitalhub.fifa.com/m/af2cdbbd380d70c/original/FWC26-Media-Rights-Licensees-Overview.pdf
Portugal,Europe,"221,862",0.46%,PT,"pt-PT, Portuguese (Portugal)",1,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,2,1,1,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Britt,
Portugal,Europe,"221,862",0.46%,PT,"pt-PT, Portuguese (Portugal)",1,LiveModeTV,LiveModeTV - YouTube,0,FREE,2,https://www.youtube.com/,https://www.youtube.com/@LiveModeTV_PT,1,1,1,1,1,1,Special deal to stream live on YT with Caze TV. ,Britt,https://www.livemode.com/fifa
Portugal,Europe,"221,862",0.46%,PT,"pt-PT, Portuguese (Portugal)",1,sport tv,sport tv,1,FREE & PAID,3,https://www.sporttv.pt/,https://www.sporttv.pt/mundial-fifa-2026,1,1,1,1,1,1,1. They'll reportedly air on YouTube too but no links/news about this. 2. Double check if the landing page updates.  ,Britt,https://digitalhub.fifa.com/m/af2cdbbd380d70c/original/FWC26-Media-Rights-Licensees-Overview.pdf
South Africa,Africa,"196,702",0.41%,ZA,"en-GB, English (UK)",1,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,2,1,1,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Kimi,https://www.techradar.com/how-to-watch/football/fifa-world-cup-2026-free-anywhere-vpn-deal
South Africa,Africa,"196,702",0.41%,ZA,"en-GB, English (UK)",1,SABC,SABC+,0,FREE,2,https://sabc-plus.com/,https://sabc-plus.com/live,1,1,1,1,2,0,Stream URL isn't World Cup specific; requires a free account to stream. I made an account but the live stream page just stayed loading,Kimi,https://www.sportcal.com/news/sabc-secures-2026-world-cup-2027-wwc-sub-licenses-with-hollywoodbets/
South Africa,Africa,"196,702",0.41%,ZA,"en-GB, English (UK)",1,DStv,DStv Stream,1,PAID,5,https://www.dstv.com/en-za/,https://dstv.stream/#/,1,1,1,2,0,0,didn't specifically say no VPN access but streaming page wouldn't even load. Stream URL isn't World Cup specific,Kimi,https://www.dstv.com/en-za/news/142178/watch-every-fifa-world-cup-2026/
Chile,Americas,"189,362",0.39%,CL,"es-CL, Spanish (Chile)",1,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,2,1,1,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Kimi,
Chile,Americas,"189,362",0.39%,CL,"es-CL, Spanish (Chile)",1,Chilevision,Chilevision,0,FREE,2,https://www.chilevision.cl/,https://www.chilevision.cl/senal-online/,1,1,1,1,1,1,PiP works inconsistently - did for some live streams & didn't for others. streaming URL isn't World Cup specific. There is also a Sports streaming live link - https://www.chilevision.cl/deportes/senal-online/,Kimi,https://www.chilevision.cl/chv-deportes/futbol-internacional/oficial-la-copa-mundial-de-futbol-2026-sera-transmitida-en-exclusiva-por-chilevision/
Chile,Americas,"189,362",0.39%,CL,"es-CL, Spanish (Chile)",1,DirecTV Latin America,DGO,1,PAID,5,https://www.directvgo.com/cl/home,https://www.directvgo.com/cl/home,1,1,1,1,0,0,No streaming link.,Kimi,https://www.totalmedios.com/nota/62724/directv-y-dgo-transmitiran-los-104-partidos-del-mundial-de-la-fifa-2026
Chile,Americas,"189,362",0.39%,CL,"es-CL, Spanish (Chile)",1,Paramount+,Paramount+,1,PAID,5,https://www.paramountplus.com/cl/,https://www.paramountplus.com/cl/,1,1,1,2,0,0,"Got a 406 error code when trying to access via VPN. There may be a 7 day free trial offered - a Google search indicated yes, but can't confirm",Kimi,https://cveintiuno.com/paramount-adquiere-los-derechos-completos-del-mundial-2026-para-argentina-chile-colombia-ecuador-peru-y-uruguay/
Slovakia,Europe,"185,113",0.38%,SK,"sk, Slovak",0,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,2,1,1,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Kimi,
Slovakia,Europe,"185,113",0.38%,SK,"sk, Slovak",0,TV JOJ,JOJPLAY,0,PAID,5,https://play.joj.sk/,https://play.joj.sk/,1,1,1,1,1,1,check correct streaming link; check if https://www.joj.sk/ is also streaming world cup,Kimi,https://www.livesoccertv.com/channels/joj-sport/
Bulgaria,Europe,"173,120",0.36%,BG,"bg, Bulgarian",1,FIFA,FIFA+,0,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,2,0,0,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Corrie,https://www.sportcal.com/news/ebu-secures-2026-2030-fifa-world-cup-rights-in-five-nations/
Bulgaria,Europe,"173,120",0.36%,BG,"bg, Bulgarian",1,BNT,BNT,1,FREE,2,https://bnt.bg/,https://tv.bnt.bg/ ,1,1,1,1,1,1,BNT has exclusive rights - all games will be available to stream for free on their site,Corrie,https://www.sportcal.com/news/ebu-secures-2026-2030-fifa-world-cup-rights-in-five-nations/
Denmark,Europe,"159,420",0.33%,DK,"da, Danish",1,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,2,1,1,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Britt,
Denmark,Europe,"159,420",0.33%,DK,"da, Danish",1,DR ,DRTV,0,FREE,2,https://www.dr.dk/drtv/,https://www.dr.dk/drtv/kategorier/sport,1,1,1,2,0,0,"I am able to see the page itself but it doesn't allow me to livestream on VPN and says: ""The content is only available in Denmark, Greenland and the Faroe Islands."" So I wasn't able to test PIP or playback. ",Britt,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_broadcasting_rights
Denmark,Europe,"159,420",0.33%,DK,"da, Danish",1,TV 2,TV 2 Play,0,PAID,5,https://play.tv2.dk/,https://play.tv2.dk/sport,1,1,1,1,0,0,FYI - I'm seeing that these two networks are splitting 50/50 games but it's unclear. Check back closer to see when they have their dedicated WC landing page - for now I pointed to the overall Sports streaming page. I couldn't test stream playback / PIP since it requires a subscription. ,Britt,"https://www.livesoccertv.com/competitions/international/world-cup/watch/denmark/, https://fwclive.com/broadcasting/denmark/"
Serbia,Europe,"155,082",0.32%,RS,"sr, Serbian",0,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,1,1,1,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Alex D.,
Serbia,Europe,"155,082",0.32%,RS,"sr, Serbian",0,RTS,RTS Planeta,0,FREE & PAID,3,https://rtsplaneta.rs/,https://rtsplaneta.rs/live/tv,1,1,1,1,1,1,"RTS likely won't have all the games, but will carry key games, and the semifinals and championship as a public broadcast provider. I've included the live TV link. ",Alex D. ,https://fwclive.com/broadcasting/rts/
Serbia,Europe,"155,082",0.32%,RS,"sr, Serbian",0,ARENA CHANNELS GROUP ,Arena Cloud,1,FREE TRIAL,4,https://arenacloudtv.com/,https://webtv.arenacloudtv.com/,1,1,0,0,0,0,"Paid, premium sports streaming platform. I wasn't able to log in without a subscription, so I wasn't able to test, but sports media says it will likely offer all World Cup games in Serbia. I was not able to find a World Cup landing page. ",Alex D.,https://fwclive.com/broadcasting/serbia/
Norway,Europe,"139,189",0.29%,NO,"nn-NO, Norwegian Nynorsk",1,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,1,1,1,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Alex D.,
Norway,Europe,"139,189",0.29%,NO,"nn-NO, Norwegian Nynorsk",1,NRK,NRK TV,0,FREE,2,https://tv.nrk.no/,https://tv.nrk.no/serie/fifa-fotball-vm-2026,1,1,1,1,1,1,Norway's Public Broadcaster. Log in with a BankID is required proving that you are a Norwegian resident for some content,Alex D.,https://fwclive.com/broadcasting/nrk/
Norway,Europe,"139,189",0.29%,NO,"nn-NO, Norwegian Nynorsk",1,TV 2,TV 2 Play,0,PAID,5,https://www.tv2.no/,https://www.tv2.no/livesport/fotball/turneringer/fifa-fotball-vm/a315b842-f4bc-5687-9ecb-3e06d6acdf9a/oversikt,1,1,0,0,0,0," TV2's live 2026 World Cup coverage is on TV2 Direkte. Households in Norway must have a subscription to RiksTV in order to access the channel. All world cup matches are being broadcast between TV2 Play and NRK, which share the rights",Alex D. ,https://fwclive.com/broadcasting/tv-2-norway/
New Zealand,Oceania,"120,875",0.25%,NZ,"en-GB, English (UK)",1,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,2,0,0,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Corrie,https://www.techradar.com/how-to-watch/football/fifa-world-cup-2026-free-anywhere-vpn-deal
New Zealand,Oceania,"120,875",0.25%,NZ,"en-GB, English (UK)",1,TVNZ+,TVNZ+,1,FREE & PAID,3,https://www.tvnz.co.nz/,https://www.tvnz.co.nz/competition/fifa-2026,1,1,1,2,0,0,Exclusive rights; failure to load-try again later message,Corrie,https://www.1news.co.nz/2025/08/25/gamechanger-tvnz-scores-exclusive-fifa-world-cup-rights/
Ireland,Europe,"93,558",0.19%,IE,"en-GB, English (UK)",1,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,2,1,1,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Kimi,
Ireland,Europe,"93,558",0.19%,IE,"en-GB, English (UK)",1,RTÉ,RTÉ Player,1,FREE,2,https://www.rte.ie/,https://www.rte.ie/player/onnow,1,1,1,1,1,1,,Kimi,https://digitalhub.fifa.com/m/af2cdbbd380d70c/original/FWC26-Media-Rights-Licensees-Overview.pdf
